rank,name,path,ranks_present,ranks_expected
genus,Marinibaculum,Bacteria;Proteobacteria;Alphaproteobacteria;Ferrovibrionales;Marinibaculum;,5,6
genus,MCWD3,Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;MCWD3;,5,6
genus,Methylohalomonas,Bacteria;Proteobacteria;Gammaproteobacteria;Granulosicoccales;Methylohalomonas;,5,6
genus,Murdochiella,Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Murdochiella;,5,6
genus,Natronincola,Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Natronincola;,5,6
genus,Oligoflexus,Bacteria;Bdellovibrionota;Oligoflexia;Oligoflexales;Oligoflexus;,5,6
genus,Paludibaculum,Bacteria;Acidobacteriota;Acidobacteriae;Paludibaculum;,4,6
genus,Parvimonas,Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Parvimonas;,5,6
genus,Pelobacter,Bacteria;Desulfobacterota;Desulfuromonadia;Geopsychrobacteraceae;Pelobacter;,5,6
genus,Pelotomaculum,Bacteria;Firmicutes;Desulfotomaculia;Desulfotomaculales;Pelotomaculum;,5,6
genus,Peptoniphilus,Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Peptoniphilus;,5,6
genus,Proteinivorax,Bacteria;Firmicutes;Clostridia;Proteinivoracales;Proteinivorax;,5,6
genus,Pseudobacteriovorax,Bacteria;Bdellovibrionota;Oligoflexia;Oligoflexales;Pseudobacteriovorax;,5,6
genus,Pseudobacteroides,Bacteria;Firmicutes;Clostridia;Hungateiclostridiaceae;Pseudobacteroides;,5,6
genus,Pseudoclostridium,Bacteria;Firmicutes;Clostridia;Hungateiclostridiaceae;Pseudoclostridium;,5,6
genus,Ruminiclostridium,Bacteria;Firmicutes;Clostridia;Hungateiclostridiaceae;Ruminiclostridium;,5,6
genus,Saccharofermentans,Bacteria;Firmicutes;Clostridia;Hungateiclostridiaceae;Saccharofermentans;,5,6
